MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
4095,Chuumon no Ooi Ryouriten (1991),6.25,"Horror, Supernatural, Fantasy",Unknown,注文の多い料理店,Movie,1,1991,Unknown,Unknown,Unknown,Unknown,Book,19 min.,G - All Ages,7111,7000,4117,2,55,2525,38,43,1456,49,78,242,529,511,304,139,47,25,23
4096,Mizu no Tane,5.69,Historical,Unknown,水のたね,Movie,1,1975,Unknown,Unknown,Unknown,Unknown,Other,19 min.,PG-13 - Teens 13 or older,9184,13594,289,0,11,160,6,33,79,4,4,8,13,19,19,16,8,6,9
4099,Appaga Piryohae,6.31,Fantasy,Unknown,아빠가 필요해,Movie,1,2005,Unknown,CoMix Wave Films,Unknown,Unknown,Unknown,10 min.,PG - Children,6796,10502,975,0,17,716,6,39,197,27,34,51,149,126,64,35,20,11,11
4162,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,7.08,"Action, Police, Comedy, Seinen",You're Under Arrest:Diverting Traffic at the Beach,逮捕しちゃうぞ 渚の交通誘導,Special,1,1997,Unknown,"Bandai Visual, TBS",AnimEigo,Studio Deen,Manga,24 min.,PG-13 - Teens 13 or older,3311,7114,3974,3,92,2465,74,45,1298,110,175,386,544,285,121,44,16,10,5
4190,Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,6.62,"Fantasy, Comedy, Shoujo",Unknown,遙かなる時空の中で3 紅の月 龍神温泉罰ゲームの巻,Special,1,2008,Unknown,Yumeta Company,Unknown,Unknown,Visual novel,7 min.,G - All Ages,5297,9892,1296,3,40,638,27,46,545,30,40,68,107,79,46,17,7,10,6
4218,Niji ni Mukatte,5.78,"Romance, Historical",Unknown,虹に向って,Movie,1,1977,Unknown,Unknown,Unknown,Unknown,Original,18 min.,G - All Ages,8894,13235,326,0,8,182,3,34,99,6,2,4,24,25,18,17,5,10,7
4396,Osaru no Kantai,4.61,"Military, Music",The Monkey Fleet,お猿の艦隊,Movie,1,1936,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10897,10580,943,0,12,789,5,34,103,15,5,17,31,59,122,117,56,63,54
4418,Catman Series II,6.26,"Comedy, Fantasy, Slice of Life",Unknown,キャットマン,ONA,8,2002,Unknown,Fuji TV,Unknown,Unknown,Unknown,4 min. per ep.,PG-13 - Teens 13 or older,7063,10373,1041,2,15,697,20,36,273,15,33,86,122,117,99,32,17,13,10
4419,Catman,6.08,"Slice of Life, Fantasy, Comedy",Catman,キャットマン,ONA,7,2002,Unknown,Fuji TV,Unknown,Unknown,Unknown,3 min. per ep.,PG-13 - Teens 13 or older,7883,8593,2210,7,56,1012,53,80,1009,30,40,111,172,171,138,70,38,26,25
4420,Vampiyan Kids: Pilot,6.09,"Action, Comedy, Kids, Vampire",Unknown,なんちゃってバンパイヤン,Special,1,1999,Unknown,Unknown,Unknown,Production I.G,Original,18 min.,G - All Ages,7837,10586,940,2,21,600,4,45,270,9,11,57,98,103,83,31,12,7,8
4461,Kouchou-sensei to Kujira,6.11,Drama,Unknown,校長先生とクジラ,Movie,1,2007,Unknown,"Yamamura Animation, Inc.",Unknown,Unknown,Unknown,2 min.,G - All Ages,7781,8973,1902,1,28,1351,13,27,483,29,41,137,233,230,186,71,23,32,22
4462,Tairiki Tarou no Mucha Shuugyou,4.78,Action,Mighty Taro's Reckless Training,大力太郎の無茶修業,Movie,1,1928,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10781,9913,1280,1,15,1124,4,39,98,12,7,21,58,126,200,120,106,68,42
4467,Universe,6.5,"Fantasy, Music",Unknown,ユニバース,Music,1,2007,Unknown,Victor Entertainment,Unknown,Production I.G,Unknown,4 min.,G - All Ages,5919,8929,1931,1,21,1518,10,24,358,46,84,162,297,264,159,55,28,11,15
4660,Yoshino no Hime,5.84,"Comedy, Fantasy, Historical, Slice of Life",The Princess of Yoshino,吉野の姫制,ONA,1,2005,Unknown,Maru Production,Unknown,Unknown,Original,8 min.,G - All Ages,8722,12121,498,1,10,272,6,26,184,7,1,14,44,53,51,17,11,3,3
5085,Nakedyouth,5.84,"Slice of Life, Sports, Romance, Shounen Ai",Naked Youth,Nakedyouth,ONA,1,2006,Unknown,Kojiro Shishido Animation Works,Unknown,Unknown,Original,9 min.,R+ - Mild Nudity,8712,5839,6475,11,105,4289,37,104,1940,85,158,378,600,684,541,274,164,105,149
5101,Doutei Kawaiya,5.27,Hentai,Unknown,童貞かわいや,ONA,1,2003,Unknown,Kojiro Shishido Animation Works,Unknown,Unknown,Original,6 min.,Rx - Hentai,Unknown,10113,1163,1,28,784,23,62,266,9,12,46,84,112,114,58,45,39,50
5158,Noisy Birth,4.75,"Dementia, Music",Unknown,我ハ機ナリ,Music,1,2000,Unknown,Studio Rikka,Unknown,Unknown,Unknown,2 min.,PG-13 - Teens 13 or older,10804,6765,4494,0,33,3795,23,35,608,42,49,125,263,439,631,416,268,267,195
5225,Lupin III: Pilot Film,6.4,"Action, Comedy, Seinen",Unknown,ルパン三世 Pilot Film,Movie,1,1969,Unknown,"Tokyo Movie Shinsha, Toho",Discotek Media,Unknown,Manga,12 min.,R+ - Mild Nudity,6430,5527,7451,5,120,5070,81,93,2087,133,161,369,975,1093,547,150,45,34,29
5270,All That Gundam,5.8,"Action, Sci-Fi, Mecha",All That Gundam,ALL THAT GUNDAM,Special,1,1989,Unknown,Atelier Musa,Unknown,Sunrise,Original,1 min.,G - All Ages,8820,6793,4422,23,70,3178,49,101,1024,87,61,132,319,515,518,157,81,56,39
5299,Coffee Tadaiku,5.08,Slice of Life,Unknown,コーヒータダイク,Movie,1,2011,Unknown,Decovocal,Unknown,Unknown,Unknown,2 min.,G - All Ages,10501,11221,724,0,10,549,5,24,136,8,3,9,34,67,92,74,27,23,36
5415,La Rose de Versailles,5.7,"Military, Slice of Life, Historical, Drama, Romance",Unknown,ベルサイユのばら,Special,1,2007,Unknown,Unknown,Unknown,Toei Animation,Unknown,4 min.,G - All Ages,9150,7846,2957,11,83,1127,50,77,1620,39,29,58,90,146,172,72,51,25,28
5466,Mahoutsukai Tai! vs. Shamanic Princess,5.84,"Comedy, Magic, Fantasy",Unknown,魔法使いTai! vs シャーマニックプリンセス,OVA,1,1998,Unknown,Bandai Visual,NYAV Post,Unknown,Unknown,5 min.,PG-13 - Teens 13 or older,8725,9828,1341,4,37,410,36,35,823,13,5,21,55,67,47,24,12,5,7
5469,Birthday Boy,5.9,"Action, Military, Historical, Drama",Unknown,축생일,Movie,1,2004,Unknown,Unknown,Unknown,Unknown,Unknown,10 min.,G - All Ages,8520,9409,1598,3,22,1034,10,43,489,12,32,83,174,200,155,63,41,17,21
5472,Kokoro Toshokan: Communication Clips,5.76,"Comedy, Drama, Slice of Life",Unknown,ココロ図書館 - コミュニケーションは切る,Special,1,2002,Unknown,Unknown,Unknown,Unknown,Manga,5 min.,G - All Ages,8968,11424,665,0,12,362,17,31,243,6,8,17,31,64,50,23,12,12,8
5624,Biohazard 4D-Executer,5.51,"Action, Adventure, Military, Horror",Resident Evil 4D Executor,BIOHAZARD 4D-EXECUTER,Special,1,2000,Unknown,Capcom,Unknown,Unknown,Game,20 min.,R - 17+ (violence & profanity),9672,7306,3696,5,50,2644,40,53,909,59,64,143,305,444,402,258,135,83,70
