AnimeId,Name,Genres,Type,Episodes,Score,Members,Studios,Aired
7031,Satsujinkyou Jidai,Fantasy,Movie,1,4.73,973,Unknown,1966
7032,Kitte no Gensou,Comedy,Movie,1,5.07,750,Unknown,1961
7071,Shoujouji no Tanuki-bayashi,Kids,Movie,1,4.92,764,Unknown,1933
7117,Pika Don,"Drama, Historical",Movie,1,6.29,766,Unknown,1978
7169,Ibarahime Mata wa Nemurihime,"Drama, Historical",Movie,1,6.21,959,Unknown,1990
7170,Kataku,"Supernatural, Demons, Historical",Movie,1,6.08,1953,Unknown,1979
7171,Oni,"Demons, Historical, Supernatural",Movie,1,6.12,1565,Unknown,1972
7243,Suisei,"Comedy, Dementia",Movie,1,5.11,1127,Unknown,1987
7244,Hyakka Zukan,Comedy,Movie,1,5.42,706,Unknown,1989
7255,Hanaori,Comedy,Movie,1,5.46,776,Unknown,1968
7258,Tabi,"Fantasy, Psychological",Movie,1,5.41,1001,Unknown,1973
7259,Kenju Giga,"Parody, Psychological",Movie,1,5.0,887,Unknown,1970
7273,Nido to Mezamenu Komori Uta,"Dementia, Drama",Movie,1,5.37,1732,Unknown,1985
7305,Detective Conan Movie 10: Promo Special,"Adventure, Police, Comedy, Mystery, Shounen",Special,1,7.66,8007,TMS Entertainment,2006
7343,Youbi Masochist Animation,Hentai,OVA,2,5.34,497,Unknown,1997
7363,Hokuto no Ken: Legend of Heroes,"Action, Martial Arts",Special,1,6.06,3209,Toei Animation,2007
7423,"The Tales of Rien Village #1: ""Toilet ni Ittokiya""",Fantasy,ONA,1,5.39,473,Unknown,2005
7430,Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,"Action, Adventure, Comedy, Ecchi, Kids, Magic, Romance, Super Power, Supernatural",OVA,1,6.46,3139,Toei Animation,2005
7445,Karo to Piyobupt: Ouchi,Comedy,Movie,1,5.13,594,Unknown,1992
7446,Karo to Piyobupt: Sandwich,Comedy,Movie,1,5.15,581,Unknown,1992
7449,Pacusi no Uta,Comedy,Special,1,5.41,341,Unknown,1994
7450,Kipling Jr.,Comedy,Movie,1,5.48,487,Unknown,1995
7451,Kid's Castle,Comedy,Movie,1,5.35,651,Unknown,1995
7471,Detective Conan Movie 09: Promo Special,"Adventure, Police, Comedy, Mystery, Shounen",Special,1,7.62,7871,TMS Entertainment,2005
7477,Fusha no Sha,"Adventure, Martial Arts, Samurai, Supernatural, Historical",Movie,1,6.46,811,Unknown,1988
7488,Karo to Piyobupt: Ame no Hi,Fantasy,Movie,1,5.34,618,Unknown,1992
7494,Usagi to Kame,Fantasy,Movie,1,5.36,944,Unknown,1924
7496,Saiyuuki: Son Gokuu Monogatari,Adventure,Movie,1,5.56,1026,Unknown,1926
7504,Bollogi Iyagi,"Dementia, Drama, Romance",ONA,1,5.5,543,Unknown,2003
7524,Mahou no Pen,Historical,Movie,1,5.59,344,Unknown,1946
7569,Idol Ace,Comedy,ONA,1,5.33,858,OLM,2005
7579,Happy☆Lesson: Hoka Hoka★Kanna to Futari Kiri,"Comedy, Harem, Romance",Special,1,6.66,3242,Unknown,2002
7617,Atelier Petros Joukuu Gekijou: Sentaku Shima no Sentaku Tori,"Comedy, Fantasy",ONA,1,4.31,560,Unknown,2003
7713,Nihon Mukashibanashi: Saru Kani,Fantasy,Movie,1,5.6,316,Unknown,1972
7728,Hellsing: Psalm of the Darkness,"Action, Supernatural, Vampire, Seinen",Special,1,6.96,25569,Gonzo,2000
7752,Bao Lian Deng,"Action, Adventure, Fantasy",Movie,1,6.28,484,Unknown,1999
7810,Yami wo Mitsumeru Hane,Dementia,Movie,1,5.09,1019,Unknown,2003
7811,Yoru no Okite,Dementia,Movie,1,4.24,1325,Unknown,1995
7843,Kiekaketa Monogataritachi no Tame ni,Dementia,Movie,1,5.03,841,Unknown,1994
8332,Kudan,Fantasy,Movie,1,6.43,292,Unknown,2008
8628,Chains & Rings,"Fantasy, Music",Music,1,5.54,1017,Production I.G,2006
8647,Self-Portrait,"Comedy, Demons",Special,1,4.81,742,Unknown,1988
8682,Television,Horror,ONA,1,5.5,553,Unknown,2004
8689,Born by Myself,"Dementia, Psychological",ONA,1,3.28,2013,Unknown,2005
8713,Akai Ito,"Drama, Romance, Slice of Life",Special,1,6.52,2246,Unknown,2009
8751,Kaijuu no Ballad,"Music, Comedy, Fantasy",Music,1,4.97,422,Unknown,2001
8815,Domo TV,Comedy,TV,26,6.29,1278,dwarf,2008
9045,Jack to Mame no Ki (OVA),"Adventure, Kids, Fantasy",OVA,1,5.97,1069,Studio 4°C,1989
9318,Samero,Dementia,Movie,1,4.59,748,Unknown,1992
9361,Molly Star-Racer,"Mecha, Music",Music,1,5.66,1506,Unknown,2001
9421,SMAnime,"Action, Seinen",OVA,3,6.47,464,Unknown,2000
9423,Koko ni Iru,Slice of Life,ONA,1,5.98,673,Unknown,2010
9509,Yami no Purple Eye,"Psychological, Supernatural, Music, Horror, Mystery, Shoujo",Music,1,4.8,1379,Toei Animation,1987
9732,Full Moon Party,Music,Music,1,5.79,1481,Unknown,2006
9733,The TV Show,Music,Music,1,6.96,3318,Unknown,2009
9770,Hello Kitty no Stump Village,"Fantasy, Kids",TV,26,5.93,584,Unknown,2005
9801,Hustle!! Tokitama-kun,Dementia,Special,1,4.38,626,Unknown,1998
9829,Yonimo Osoroshii Nihon Mukashibanashi,"Dementia, Horror, Psychological",OVA,3,5.87,1092,Unknown,2000
9851,O-parts: Oman,"Action, Mecha, Comedy, Hentai",Special,1,5.0,1088,Unknown,1987
9895,The Bathroom,"Comedy, Dementia",Movie,1,4.24,1257,Unknown,1970
9951,Jiu Se Lu,Supernatural,Movie,1,6.07,1183,Unknown,1981
9957,Hoshizora no Violin,"Historical, Slice of Life",Movie,1,6.55,741,Unknown,1994
9976,Wakaranai Buta,"Dementia, Drama",Movie,1,4.87,704,Unknown,2010
10003,Kago Shintarou Anime Sakuhin Shuu,"Comedy, Dementia, Horror, Seinen",OVA,15,5.01,4180,Unknown,2008
10055,Black Jack: Heian Sento,Shounen,Movie,1,6.51,1983,Unknown,1996
10189,Hunter x Hunter Pilot,"Action, Adventure, Shounen, Super Power",OVA,1,7.2,20953,Studio Pierrot,1998
10194,Bada-ui Jeonseol Jangbogo,"Action, Adventure, Mystery, Comedy",TV,26,6.08,713,Unknown,2002
10262,Gag Manga Biyori: Jump Festa 2002 Special,Comedy,Special,1,6.28,836,Unknown,2002
10354,Kakomareta Sekai,Drama,ONA,1,5.73,1455,Unknown,1998
10375,Denshinbashira no Okaasan,Drama,Movie,1,5.76,412,Unknown,2005
10581,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,"Action, Military, Sci-Fi, Space, Drama, Mecha",Special,1,6.01,5536,Sunrise,1992
10585,Chuunen Punk,Music,Music,1,4.67,521,Unknown,2004
10594,Tokimeki Tonight Recaps,"Comedy, Fantasy, Romance, Shoujo, Vampire",Special,2,6.23,527,Unknown,1988
10674,Omake,Comedy,Movie,1,5.27,577,Unknown,2003
10701,Ulysses 31 Pilot,"Action, Adventure, Sci-Fi, Space",Special,1,5.82,533,TMS Entertainment,1980
10718,Soliton no Akuma,"Military, Drama, Sci-Fi",Movie,1,5.98,779,Unknown,1997
10732,Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon,"Adventure, Comedy, Magic, Shounen, Supernatural",OVA,1,6.59,2741,Toei Animation,2006
10743,Tora-chan no Kankan Mushi,Drama,Movie,1,5.28,671,Unknown,1950
10765,Hikaru no Go: Sabaki no Ikkyoku! Inishie no Hana yo Sake!!,"Game, Comedy, Supernatural, Shounen",OVA,1,7.41,6025,Studio Pierrot,2002
10812,Toumei Shounen Tantei Akira,"Action, Shounen",Special,1,5.25,333,Unknown,1970
10813,Alps no Shoujo Heidi Pilot,"Comedy, Drama, Slice of Life",Special,1,5.35,916,Unknown,1967
10823,Ranma ½: 1994 Music Calendar,"Slice of Life, Martial Arts, Comedy",OVA,1,6.64,2869,Unknown,1993
10979,48x61,"Sports, Comedy",ONA,1,5.3,1649,Madhouse,2002
11561,Sougen no Ko Tenguri,"Adventure, Historical, Kids, Drama",Movie,1,6.09,896,Shin-Ei Animation,1977
11579,Jubilee,"Dementia, Music",Music,1,5.18,814,Unknown,1999
11685,Takarajima Memorial: Yuunagi to Yobareta Otoko,"Adventure, Drama, Historical, Mystery, Supernatural",OVA,1,6.55,1154,Madhouse,1992
11691,Bloody Date,Horror,ONA,1,4.19,3387,Unknown,2006
11717,Hoshi no Kirby: Pilot,"Adventure, Comedy, Parody, Fantasy",Special,1,5.69,1703,Unknown,2000
11735,Coluboccoro,"Sci-Fi, Fantasy",OVA,1,5.64,1835,Kenji Studio,2007
11919,Zoku Attacker You! Kin Medal e no Michi,"Sports, Romance",TV,52,6.11,853,Unknown,2008
12133,Sekaikei Sekai Ron,"Sci-Fi, Psychological",OVA,1,5.8,962,Unknown,2009
12145,Backkom,"Comedy, Kids",TV,52,5.84,1468,RG Animation Studios,2005
12521,Tentoumushi no Otomurai,"Music, Dementia",Movie,1,5.25,508,Unknown,2006
12591,Ojamajo Doremi OVA,"Kids, Magic",OVA,3,6.68,1595,Unknown,2001
12803,Chinkoroheibei Tamatebako,"Kids, Fantasy, Comedy",Movie,1,5.22,693,Unknown,1936
12919,Yoru no Hi,Psychological,Movie,1,4.94,1193,Unknown,2005
13083,Fushigi na Kusuri,"Slice of Life, Comedy",Movie,1,5.47,451,Unknown,1965
13085,Kitsutsuki Keikaku,"Slice of Life, Comedy",Movie,1,5.43,363,Unknown,1966
13087,Youkoso Uchuujin,Comedy,Movie,1,5.44,353,Unknown,1966
13089,Hana to Mogura,Comedy,Movie,1,5.63,404,Unknown,1970
13091,Ojiichan ga Kaizoku Datta Koro,Comedy,Movie,1,5.62,274,Unknown,1968
13369,Cornelis,Comedy,Movie,1,5.43,373,Unknown,2008
13405,Utsu Musume Sayuri,"Comedy, Dementia",OVA,1,2.01,13450,Unknown,2003
13421,Wheels,Comedy,OVA,1,4.6,565,Unknown,2000
13755,Shanshui Qing,Music,Movie,1,6.53,1396,Unknown,1988
13789,Little Nemo Pilot,Adventure,Special,1,6.09,862,TMS Entertainment,1984
13965,Thermae Romae x LOFT Collaboration,"Comedy, Historical, Seinen",Special,1,6.04,666,DLE,2012
13967,Thermae Romae x Asahi Shimbun Digital Collaboration,"Comedy, Historical, Seinen",Special,1,6.22,685,DLE,2012
